signal_date,horizon,mover,low_avol_return,high_avol_return,spread,n_low,n_high
2015-03-05,1,positive,-0.0159059738790055,-0.01305656413046973,0.0028494097485357705,215,216
2015-03-05,1,negative,-0.016245878216584415,-0.015816142555033635,0.00042973566155077997,215,215
2015-03-03,3,positive,-0.022782631840335892,-0.013877202376623342,0.00890542946371255,216,216
2015-03-03,3,negative,-0.01972842157410436,-0.015810229209088023,0.0039181923650163375,215,216
2015-02-27,5,positive,-0.031799979833486876,-0.028219976149412587,0.0035800036840742885,216,216
2015-02-27,5,negative,-0.01619483963295407,-0.0073410107055423635,0.008853828927411708,216,215
2015-03-06,1,positive,-0.0006615238271361206,0.0016383736463633169,0.0022998974734994375,215,215
2015-03-06,1,negative,-0.004233031592344905,-0.004897807989252053,-0.0006647763969071484,214,215
2015-03-04,3,positive,-0.017853071782340326,-0.010412367340737768,0.007440704441602558,215,216
2015-03-04,3,negative,-0.02441446829919569,-0.022513445026367943,0.0019010232728277482,215,215
2015-03-02,5,positive,-0.01589962490130896,-0.019196103496596673,-0.0032964785952877135,216,217
2015-03-02,5,negative,-0.03707352373519795,-0.0282218529666245,0.008851670768573447,216,216
2015-03-09,1,positive,-0.014588099220526236,-0.011988952730949017,0.002599146489577219,214,215
2015-03-09,1,negative,-0.01896603564308327,-0.016522888593548935,0.0024431470495343346,214,214
2015-03-05,3,positive,-0.03238859175503709,-0.02780765104967269,0.004580940705364401,215,216
2015-03-05,3,negative,-0.04156863235501218,-0.037422720340566255,0.004145912014445925,215,215
2015-03-03,5,positive,-0.045472683792905706,-0.033891107963475046,0.01158157582943066,216,216
2015-03-03,5,negative,-0.03377550566060996,-0.03218152578535693,0.001593979875253032,215,216
2015-03-10,1,positive,-0.0004145249113540072,0.0008330240559196692,0.0012475489672736763,213,214
2015-03-10,1,negative,0.006509760346747069,0.0067714256883169,0.0002616653415698309,213,213
2015-03-06,3,positive,-0.009641262850960295,-0.006753328173102524,0.0028879346778577708,215,215
2015-03-06,3,negative,-0.01424602778749988,-0.013849053268637305,0.000396974518862574,214,215
2015-03-04,5,positive,-0.026404841339574266,-0.02033330271618204,0.006071538623392228,215,216
2015-03-04,5,negative,-0.0313757417981648,-0.03507964960034093,-0.0037039078021761304,215,215
2015-03-11,1,positive,0.007019701338388616,0.006472129614271976,-0.0005475717241166401,214,214
2015-03-11,1,negative,0.008053440717556063,0.011488529550469168,0.003435088832913104,213,214
2015-03-09,3,positive,0.0044358511605387405,0.007318251733653794,0.002882400573115054,214,215
2015-03-09,3,negative,-0.009175762637448247,-0.009852430397033287,-0.0006766677595850396,214,214
2015-03-05,5,positive,-0.015090687781222021,-0.013844203345683552,0.001246484435538469,215,216
2015-03-05,5,negative,-0.02817497605973612,-0.02438203762614291,0.003792938433593209,215,215
2015-03-12,1,positive,-0.007595247959604656,-0.0041091807571305055,0.00348606720247415,214,214
2015-03-12,1,negative,-0.009031701596446402,-0.0075315038982744,0.001500197698172002,213,214
2015-03-10,3,positive,0.0015420347922429282,0.005936668629150539,0.004394633836907611,213,214
2015-03-10,3,negative,0.008021173223346187,0.008682458376593018,0.0006612851532468312,213,213
