spec,signal_date,mover,horizon,low_avol_return,high_avol_return,spread,low_signal_return,high_signal_return
TAIL10,2015-02-09,negative,1,0.001379778044182736,0.004444655723918031,0.003064877679735295,-0.03140466717451748,-0.03486711461971082
MAIN_20D_1M_TAIL20,2015-02-05,positive,3,-0.007403751630549095,-0.002472214889610634,0.00493153674093846,0.054610603568305584,0.04333553258344718
MAIN_20D_1M_TAIL20,2015-02-05,negative,3,-0.005438696993679918,-0.00023950135266081438,0.0051991956410191035,-0.009508037166869853,-0.010328749041074486
AVOL10,2015-02-05,positive,3,-0.0046906802659313265,-0.0049903750619875575,-0.000299694796056231,0.05453055004880406,0.04341523361920001
AVOL10,2015-02-05,negative,3,-0.005744928378238876,7.720476493300737e-05,0.005822133143171883,-0.009484279383239988,-0.010354160790816289
LIQ5M,2015-02-05,positive,3,-0.004977722551938136,0.0003583789481584186,0.005336101500096555,0.059702405140937234,0.04394458069218669
LIQ5M,2015-02-05,negative,3,-0.0006059587208593936,-0.0001688846207470708,0.0004370741001123228,-0.009532742285795572,-0.01089390379557581
LIQ10M,2015-02-05,positive,3,-0.005726796322739302,0.0017187237446056071,0.007445520067344909,0.061053869658688496,0.0431002347389268
LIQ10M,2015-02-05,negative,3,0.0005124124203388497,0.00016019035699510134,-0.0003522220633437484,-0.009037493883095955,-0.009771047339048064
TAIL10,2015-02-05,positive,3,-0.009160854277279692,-0.005046729179713706,0.004114125097565985,0.08241818094666183,0.059874620709302204
TAIL10,2015-02-05,negative,3,-0.007858468840481686,0.0005348672424073473,0.008393336082889034,-0.017601245714643134,-0.01924684637786045
MAIN_20D_1M_TAIL20,2015-02-03,positive,5,0.0012922816345921763,-0.0013317764646226255,-0.0026240580992148016,0.05831412219333922,0.05904722326684007
MAIN_20D_1M_TAIL20,2015-02-03,negative,5,-0.004573116510207562,-0.0017563374051571949,0.0028167791050503674,-0.0068043851902388885,-0.007401647763797714
AVOL10,2015-02-03,positive,5,0.0017152010341756404,-0.0018031943120737442,-0.0035183953462493847,0.058359032514502675,0.059003125158109945
AVOL10,2015-02-03,negative,5,-0.005920203797617188,-0.00045917603865321675,0.005461027758963972,-0.006935204897315315,-0.007281502787841526
LIQ5M,2015-02-03,positive,5,0.002733845211057382,0.0023633358308335533,-0.00037050938022382875,0.058356298227269676,0.059147817471594144
LIQ5M,2015-02-03,negative,5,-0.005349699304243784,-0.0014012973642795155,0.003948401939964269,-0.005276075594799876,-0.00596265055277332
LIQ10M,2015-02-03,positive,5,-0.0017829645009482357,0.004707719793460729,0.006490684294408965,0.059066988304942614,0.05910923387163566
LIQ10M,2015-02-03,negative,5,-0.002500660433236028,-0.003118536507857788,-0.00061787607462176,-0.004703813129285474,-0.0051868673226384745
TAIL10,2015-02-03,positive,5,0.0016595171927825518,-0.004315490811624237,-0.00597500800440679,0.07834185170014511,0.07977097690512089
TAIL10,2015-02-03,negative,5,-0.0026725684135229634,-0.003727837793970426,-0.0010552693804474628,-0.014138438001633901,-0.015295849293128855
MAIN_20D_1M_TAIL20,2015-02-10,positive,1,-0.000881973153384071,-0.0009854285422915539,-0.00010345538890748284,0.02592289535219335,0.027487781577155413
MAIN_20D_1M_TAIL20,2015-02-10,negative,1,-0.0056063485078173035,-0.003470458478919705,0.0021358900288975984,-0.026353158813503086,-0.02754534638119806
AVOL10,2015-02-10,positive,1,-0.0012449196265500897,-0.0006408235022660316,0.0006040961242840581,0.02570295939653806,0.02770804626120597
AVOL10,2015-02-10,negative,1,-0.004819553414307112,-0.004140745236874043,0.0006788081774330686,-0.026315818766767734,-0.027581470540629142
LIQ5M,2015-02-10,positive,1,-0.0012093169939211505,-0.0016477979565943269,-0.0004384809626731764,0.027213175596631962,0.028031818265700403
LIQ5M,2015-02-10,negative,1,-0.007372785581010792,-0.0032968064990444336,0.004075979081966359,-0.026690959235727212,-0.028372534871433396
LIQ10M,2015-02-10,positive,1,-0.0014391731830706645,-0.0006577737558972755,0.000781399427173389,0.027071251600484042,0.02883662473805255
LIQ10M,2015-02-10,negative,1,-0.0069408786797595405,-0.004518410364110477,0.002422468315649064,-0.02395732620895337,-0.025546722230536344
TAIL10,2015-02-10,positive,1,0.000704576613121215,0.0030311091427332923,0.0023265325296120774,0.03445720026206377,0.03759129626970874
TAIL10,2015-02-10,negative,1,-0.008332956539778539,-0.005868529744005708,0.002464426795772831,-0.03964739676295763,-0.04207556605469849
MAIN_20D_1M_TAIL20,2015-02-06,positive,3,-0.006113390337451325,-0.00886424181985838,-0.002750851482407054,0.024151786840238006,0.026511589631704913
MAIN_20D_1M_TAIL20,2015-02-06,negative,3,-0.004741145774564458,-0.007539700250399388,-0.0027985544758349296,-0.03360507032927063,-0.03566007144537188
AVOL10,2015-02-06,positive,3,-0.00924799949798873,-0.005778063222293654,0.003469936275695076,0.02412614138511232,0.02653564896609168
AVOL10,2015-02-06,negative,3,-0.005721681923122271,-0.006619140070889077,-0.000897458147766806,-0.03355097599322583,-0.035707297639707584
LIQ5M,2015-02-06,positive,3,-0.007534874318253266,-0.005381431352641114,0.002153442965612152,0.0250007876266099,0.02635061206160188
LIQ5M,2015-02-06,negative,3,-0.006265689407128482,-0.009272836627493576,-0.003007147220365094,-0.035333511667298194,-0.037047483048883494
LIQ10M,2015-02-06,positive,3,-0.007188543697345601,-0.001075473753234529,0.006113069944111072,0.023059883875413686,0.025816732341218222
LIQ10M,2015-02-06,negative,3,-0.005812784507324064,-0.008201348787716365,-0.0023885642803923007,-0.03580067901111439,-0.037715418163904765
TAIL10,2015-02-06,positive,3,-0.004914627321671997,-0.0038182769776940557,0.001096350343977941,0.035347201603388126,0.04001840355122102
TAIL10,2015-02-06,negative,3,-0.008370436839863733,-0.009445385903347902,-0.0010749490634841697,-0.04419280535890113,-0.048291118425067066
MAIN_20D_1M_TAIL20,2015-02-04,positive,5,0.00042723550733474137,0.009016412848662975,0.008589177341328233,0.01809023828996949,0.018456226883610073
MAIN_20D_1M_TAIL20,2015-02-04,negative,5,0.010820892876372463,0.004835977721192881,-0.005984915155179582,-0.032775701479795895,-0.034410677755196
AVOL10,2015-02-04,positive,5,0.0029907300153657187,0.006404801958922795,0.0034140719435570765,0.017945435001143324,0.018599321046718124
AVOL10,2015-02-04,negative,5,0.012543915396898891,0.0032040855988707145,-0.009339829798028177,-0.03275254676536808,-0.03443022654639309
LIQ5M,2015-02-04,positive,5,0.001590992715323382,0.009632912761626894,0.008041920046303512,0.018415347427495433,0.01888791511711363
LIQ5M,2015-02-04,negative,5,0.009407695129852005,0.003648463337589866,-0.005759231792262139,-0.03391083339785307,-0.03550677169420665
LIQ10M,2015-02-04,positive,5,0.00600843976594974,0.009279106134488742,0.0032706663685390016,0.01808483504520881,0.018591987122001597
LIQ10M,2015-02-04,negative,5,0.009044767809875127,0.0042728222387094185,-0.004771945571165709,-0.03306671895295381,-0.03454838378614018
TAIL10,2015-02-04,positive,5,-0.006643590543880415,0.010211641933932532,0.016855232477812947,0.02762302289608911,0.028308795038970675
TAIL10,2015-02-04,negative,5,0.017623134993265198,0.013888524118379379,-0.0037346108748858194,-0.04441674967741499,-0.047675891489966996
MAIN_20D_1M_TAIL20,2015-02-11,positive,1,0.01146115022586126,0.015708111808236197,0.004246961582374937,0.018841894291774693,0.019360354632351924
MAIN_20D_1M_TAIL20,2015-02-11,negative,1,0.011627343507046627,0.010238985239314859,-0.0013883582677317683,-0.02291681006576001,-0.0243131261029269
AVOL10,2015-02-11,positive,1,0.011888253671585308,0.015316512347887033,0.0034282586763017247,0.01880419802770151,0.019398123100664327
AVOL10,2015-02-11,negative,1,0.010914206451978986,0.01093596210957174,2.175565759275286e-05,-0.022859991230000317,-0.02436488731742955
LIQ5M,2015-02-11,positive,1,0.011040171014966483,0.014651668481389091,0.003611497466422609,0.018189706456856598,0.019333846509856256
LIQ5M,2015-02-11,negative,1,0.012486410407373643,0.010471727958614166,-0.0020146824487594778,-0.02291590439848775,-0.024668237452125093
LIQ10M,2015-02-11,positive,1,0.009739659818029761,0.01494508360913251,0.005205423791102748,0.016987390797653684,0.017996448272028277
LIQ10M,2015-02-11,negative,1,0.011490113256079303,0.011205313779335983,-0.0002847994767433207,-0.02233671463563825,-0.02463400570646466
TAIL10,2015-02-11,positive,1,0.013668542790726296,0.01969502461982187,0.006026481829095574,0.02886903997454101,0.029871107456645583
TAIL10,2015-02-11,negative,1,0.012490836140118885,0.010174427301019667,-0.002316408839099218,-0.03122713665051279,-0.03397787857799036
MAIN_20D_1M_TAIL20,2015-02-09,positive,3,0.0028811072599606155,0.0014475589154308139,-0.0014335483445298016,0.022828294893773353,0.02332527490010595
MAIN_20D_1M_TAIL20,2015-02-09,negative,3,0.013798409496869075,0.018212181916762125,0.004413772419893051,-0.024284314493558133,-0.026020400190037058
AVOL10,2015-02-09,positive,3,0.00349622701397862,0.0007959219746047832,-0.0027003050393738367,0.02270909405843374,0.023447584766825253
AVOL10,2015-02-09,negative,3,0.009755300486070092,0.021897562590062182,0.01214226210399209,-0.024297745229245958,-0.026009730423356626
LIQ5M,2015-02-09,positive,3,0.0016088164004514267,0.0036856479876022454,0.0020768315871508188,0.02301294259950374,0.023184675030606013
LIQ5M,2015-02-09,negative,3,0.01440920249272933,0.022849791342674675,0.008440588849945344,-0.02292826747954138,-0.023682667956157134
LIQ10M,2015-02-09,positive,3,0.003015293753545186,0.0038138563252812416,0.0007985625717360557,0.022766546387960267,0.022600918678675377
LIQ10M,2015-02-09,negative,3,0.01760154495712098,0.021119199065639128,0.003517654108518148,-0.022633047214337756,-0.022916393540140197
TAIL10,2015-02-09,positive,3,-0.0058525062540908,-0.00813855350472081,-0.00228604725063001,0.03548390922282745,0.036510731843482844
TAIL10,2015-02-09,negative,3,0.015259019264870385,0.019874783129578317,0.004615763864707932,-0.03140466717451748,-0.03486711461971082
MAIN_20D_1M_TAIL20,2015-02-05,positive,5,0.0057092704991693905,0.00853066512830763,0.0028213946291382394,0.054610603568305584,0.04333553258344718
MAIN_20D_1M_TAIL20,2015-02-05,negative,5,0.002294221538649799,0.00856595833701106,0.006271736798361261,-0.009508037166869853,-0.010328749041074486
AVOL10,2015-02-05,positive,5,0.010002153200282329,0.004404815657104669,-0.00559733754317766,0.05453055004880406,0.04341523361920001
AVOL10,2015-02-05,negative,5,0.0026216594328630732,0.008287960136740545,0.005666300703877471,-0.009484279383239988,-0.010354160790816289
LIQ5M,2015-02-05,positive,5,0.005191863514005303,0.012775042379004453,0.00758317886499915,0.059702405140937234,0.04394458069218669
LIQ5M,2015-02-05,negative,5,0.01249244959378313,0.012093291832566088,-0.00039915776121704147,-0.009532742285795572,-0.01089390379557581
LIQ10M,2015-02-05,positive,5,0.0034865087883332985,0.013058797336933062,0.009572288548599763,0.061053869658688496,0.0431002347389268
LIQ10M,2015-02-05,negative,5,0.012237612075084706,0.010492742510880164,-0.001744869564204542,-0.009037493883095955,-0.009771047339048064
TAIL10,2015-02-05,positive,5,0.004980533320040372,0.007499955961141151,0.0025194226411007787,0.08241818094666183,0.059874620709302204
TAIL10,2015-02-05,negative,5,0.0010289604373861637,0.011206597977395445,0.01017763754000928,-0.017601245714643134,-0.01924684637786045
MAIN_20D_1M_TAIL20,2015-02-12,positive,1,0.012081572721293721,0.00897765655260643,-0.0031039161686872915,0.035918207473427964,0.03828873445939688
MAIN_20D_1M_TAIL20,2015-02-12,negative,1,0.0073332660340071475,0.0034695105508005227,-0.003863755483206625,-0.00924359353415744,-0.009603155924278736
AVOL10,2015-02-12,positive,1,0.011389746223566085,0.009680169760731534,-0.001709576462834551,0.03583589664145903,0.038371557958040384
AVOL10,2015-02-12,negative,1,0.0073019454939178274,0.0035585691404949014,-0.003743376353422926,-0.009229171432127797,-0.009615668734188142
LIQ5M,2015-02-12,positive,1,0.016168991056411123,0.007595814762581185,-0.008573176293829938,0.036436111047247075,0.038129238097328856
LIQ5M,2015-02-12,negative,1,0.008879755778782982,0.004467225999700503,-0.004412529779082479,-0.00905135610314499,-0.00951038942658478
LIQ10M,2015-02-12,positive,1,0.01622636205397152,0.007712760740312452,-0.008513601313659067,0.03614785518967062,0.037896816103791635
LIQ10M,2015-02-12,negative,1,0.008007726511271183,0.002376905218349565,-0.005630821292921619,-0.009286435801928351,-0.009722334561412341
TAIL10,2015-02-12,positive,1,0.014967160762636688,0.010509412149615155,-0.004457748613021534,0.04672107950890656,0.05144646328742808
TAIL10,2015-02-12,negative,1,0.009245143871114383,0.006891925654559809,-0.0023532182165545736,-0.016797638568095557,-0.017481759755982196
